review_id,review
10,"Antonio Berardi's runway positively oozed with raw energy as he presented one of the most unapolegetically sexy collections so far. Necklines plunged, skimpy leather dresses clung to the body for dear life and flowing, floor-length evening gowns in shocking pink, orange and yellow were simultaneously old-world and unflinchingly modern. Berardi once again proved his skill at combining deft tailoring (as in his white, sharp tuxedo suits) with extravagant sensuality (silky cocktail dresses never looked better). As if that weren't enough, this time around he threw in Murano glass, vertigo-inducing ankle-cuff stilettos, Lalique jewelry and edgy headpieces by Stephen Jones."
11,"Marni's presentation relied on youthful and easy-to-wear dresses and separates in bright pink, green and yellow over white and beige. Polka dots and abstract motifs in light cotton dominated, but there were also flowing country-girl skirts with subtle embroidery and traditional gingham prints. The translucent layering of light fabrics added a playful touch to the feminine silhouette. The look was completed with flat shoes and boots some of which were also decorated with eye-catching polka dots."
12,"Colonna's idea of chic is certainly not that of the haute bourgeoisie: Instead think smoky nightclubs, too much to drink and illicit romances. His slinking sensibility showed up this season in fringed, semi-destroyed denim ensembles, belted handkerchief tops with lace insets, net T-shirt dresses and paillette-trimmed rock 'n' roll ensembles with revealing slashed cutouts. Without forgoing all the hard-edged glitz, Colonna also featured some of his trademark favorites--sweaters with exposed seams, deconstructed layering and reconfigured garments."
13,"Karl Lagerfeld presented one of the strongest collections of the season, propelling Fendi once and for all into the center of the fashion limelight. Their trademark accessories--snakeskin baguette purses, acid-colored totes and luxurious foulards--were impeccable as usual, but it was the clothes that took over the stage and captivated the audience. Lagerfeld toyed with the interaction between soft, flowing fabrics in feminine colors and shapes, and the hard-edged glamour of a Halston-clad Studio 54 diva. The result was an innovative, perfectly balanced silhouette. One-sleeved cocktail dresses, shiny patent leather with lace detailing, logo-emblazoned suits, sexy chiffon dresses, enormous driving sunglasses and futuristic metallic heels make up the wardrobe of the modern Fendi woman--a sophisticate who feels equally at home sipping cocktails at a garden party in Milan, attending a gala in New York or nightclub-hopping until dawn in Los Angeles."
14,"Tommy Hilfiger appropriated the current elements of decoration in fashion beading, assorted prints, and embroidery stripped them of all frilliness, and used them to rock the house at Madison Square Garden. Bush performed live as a parade of sexy modern-day cowboys and girls took to the runway wearing multi colored eagle bustiers, crimson motorcycle jackets, and jeans with snakeskin appliques. Red, white, and blue was the patriotic, and predominant, color scheme, occasionally tempered by patchwork dresses and floral-printed western looks. Cowboy boots inspired by the American flag added the ideal footnote to Hilfiger's extravagant looks."
15,"Iceberg, which was brimming with youthful energy, was inspired by the topic of love. Lilac, orange, red, gold and white were the colors of choice for a broad range of silhouettes--there were '70s flared pants with appliqu's, macro and miniskirts, Chaplinesque trousers and elaborate knits, most with glittering paillettes thrown in for good measure. It was a lighthearted collection that should easily find a niche in Iceberg's new Las Vegas boutique."
16,"Fashion's king of minimalism showed a romantic, ethereal collection that played with almost imperceptible variations of light and pattern. Colors went from white to putty and pale blue to light gray in fabrics that were sheer and airy. Sophisticated coats and jackets were treated like redefined button-down shirts. Suits were feather-light but tailored razor-sharp, and classic dresses with built-in underwire bras brought the collection into the new millennium with the use of technologically advanced materials like micro-pinstripe opaque jersey."
17,"It takes a master designer like Christian Lacroix to confidently mix a dizzying array of prints and make it work. Indeed, there was not a single solid piece in Christian Lacroix's strongly decorated collection, but there were plenty of flowers, colorful patchwork, polka dots, paisleys, beading, Kabuki motifs, petal embroidery and giant leaf prints. It was a visually arresting extravaganza that captured the soft, feminine side of spring 2000. If you're in the market for a garden party dress or an eye-catching number for those long summer nights, look no further."
18,"Charo Meets Che was the title of John Bartlett's coed show, inspired by photographer and Mexican revolutionary Tina Modotti. Bartlett's ""Guerrilla Ballerinas"" stormed the runway wearing rust and brown leather slim pants with side laces, bomber jackets, and silk chiffon wrap tops. More formal looks followed, including a black twill luggage coat, georgette pants with gold beading, and gathered nude silk sleeveless tunics."
19,"Dolce & Gabbana are determined to party like it's 1999 for as long as they can, and are sparing no resources to do so. A typical look from their runway included a paisley-print transparent top, embroidered tapestry microskirt with oversized diamant? buckle, leopard tights, jewel-fringed boots and a glittering choker. For those who need a little something extra, there were also plenty of polka-dotted chiffon shirts, flapper tops and skirts, oversize fur hats and bags, beaded ties and buckets of rhinestones. Not satisfied? Slip into their teetering platform shoes, throw on a bejeweled bikini and top it off with a slouchy suit with shimmery appliqu's. That should do the trick!"
20,"Cerruti has a well-built reputation for producing classically tailored, elegant daywear in top-quality fabrics. Peter Speliopolous, who took over the creative reins from Narciso Rodriguez a couple of seasons ago, has successfully capitalized on the traditional house's strengths, and simultaneously infused the clothes with a younger attitude. This season the look was perfect for a summer picnic on the Riviera: Onionskin jerseys, feminine wraps, delicately ruched dresses, and Spanish-inspired skirts evoked a modern interpretation of an impressionist painting. Cutout designs, paillette accents, and very delicate embroidery on light, simply cut fabrics proved how the combination of American sensibility with European tradition and craft is working at Cerruti."
21,"The design team of Josh Patner and Brian Brantley, better known as Tuleh, showed a perfectly honed collection today. The look was sophisticated, natural and very, very pretty. Floral prints, checks and frou-frou detailing appeared on everything from body-hugging suits to flowing gowns and '50s inspired skirts. Foxy feathered skirts and strapless A-line dresses looked fresh and clean, and were perfectly complemented by the boldly-colored satin pumps that Christian Louboutin designed for Patner and Brantley. Tuleh perfectly captured the season's lust for feminine decoration without ever reverting to artifice or excess."
22,"Sportmax designs simple, easy-to-wear clothes for people who want the look of the moment without taking too many fashion risks. This season revolved around a beach motif, featuring shorts, customized tank tops and sexy bikinis decorated with petals. Simple T-shirts received a glamour boost with paillette detailing, and a Pucci-like print showed up on liquid chiffon skirts and handkerchief shirts. The ""modern nomad"" looks were accessorized with '80s-style sunglasses and gigantic bags big enough to carry your beach supplies, or your all-important traveling essentials."
23,"Daphne Gutierrez and Nicole Noselli, the girls behind Bruce, held an inspirational, glamorous and seductive presentation centered around sumptuous leather skirts and jackets, ruched tanks and no-nonsense trousers. The pieces successfully walked the fine line between avant-garde minimalism and jet-set glamour: Slate-gray satin cocktail dresses shared the runway with crocheted tops and leather pants with gathered cuffs. The sobriety of the designs extended to the classic boots and snakeskin heels that blended in perfectly with the collection."
24,"The grandiose Musée du Petit Palais served as the setting for Stella McCartney's sensual collection. Fringed, frayed, ecru denim pieces opened the show, accessorized by white boots with high heels and bold ankle cuffs. A series of interesting embroidered pieces followed--delicate colored thread formed figures of women and animals on skirts, jeans, and jackets. The collection's underlying theme of subtle opulence was underscored by the hand-painted jerseys, diamond-embroidered pieces and 24-K-gold chains that held together some tops or served as blouses. For McCartney's customer, luxury, evidently, comes naturally."
25,"It was a veritable tour de force for Marc Jacobs who, after showing his own line in New York, presented an impressively honed collection for Louis Vuitton. Travel and luxury have always been essential components of the Vuitton allure, and this season it looks like jet-setters will feel equally at home on their way to a safari in Africa or hopping on the Concorde between New York and Paris. Canvas skirts, trenchcoats, and jackets stamped with LV's mini-monogram were reminiscent of a luxury-starved colonial explorer's uniform, as were the wool denim pieces and oversize bags. For more urban tastes, Jacobs produced a series of fluid silk jersey dresses with graphic prints, gold skirts and coats, and cashmere tops with scarves. The overall feeling was of easy, eminently wearable chic adornment was restricted to very subtle diamond stitching on pants and skirts, and occasional embroidery on tanks and evening gowns."
26,"Jil Sander's strength has always been her self-assured simplicity of design. This season she experimented with a lighter, more feminine silhouette that included floral patterns and western shirts. Skirts had gathered waistbands; some dresses featured sash-like pleats on the front. Sander's softer side came through in the lacy chiffons and cottons she used, and in her precise use of color. The runway evoked a procession of sculptural cascades in black and white, with sporadic flashes of brown, beige, rose and yellow."
27,"Freedom Girls was the theme for Betsey Johnson's rambunctious, colorful presentation, set to DJ Mark Ronson's funky beats. And true to theme, the real-life models, ranging in age from ten years old to fifty something, who stalked the makeshift runway in Johnson's Seventh Avenue neon-pink and yellow showroom did radiate a sense of fashion, liberation. Johnson's signature playful prints showed up in sexy baby doll halters, micro-cardigans, peasant skirts, and simple sheath dresses. ""Farm girl"" looks mingled with western ensembles of flared jeans with ruffles, and middle eastern-inspired shawls and skirts. ""This is a celebration of personal style,"" declared Johnson, who also served as the show's emcee."
28,"It's all about dots, said Inacio Ribeiro, who designs with his wife Suzanne Clements, of his collection. The first look out on the runway a floaty yellow chiffon dress covered with multicolored dots and worn over a dotted bikini was a strong opening for the collection. There were to-die-for lily-print coats, paisley chiffon skirts decorated with cellophane discs, lean trousers tied at the waist with airy chiffon bows and the most original draped sequin tops. And no one will be able to resist the latest Clements cashmere a twinset combining chocolate and pistachio stripes, which was shown with cropped trousers in that divine pink and peppermint lily print."
29,"A flowing, sensual silhouette accented with occasional hard touches has been a recurring motif through Sonia Rykiel's impressive career. This season she geared her collection toward the ""tough, unpredictable, and determined woman."" Rykiel produced a series of flouncy, delicate dresses spiced up with pleats, square necks and lace detailing. The clothes were at times sweet and delicate, but often provocatively sexy, such as the series of rhinestone sweaters, brightly colored rabbit fur bomber jackets and ""crocheted dresses for eccentric ladies"" she showed. Even Rykiel's bride had an edge: Her flowing white gown, like many pieces in the show, was trimmed with metal studs. What about Rykiel's wedding-night accessories? A blue bouquet and tons of attitude, bien s r ."
30,"Imagine an off-blue, tailored leather pantsuit. Then imagine its collars held together with a knifelike slice of mirrored glass, and you can see why Robert Cary-Williams' third runway show held everyone's attention. A young designer who has previously shown on runways banging with explosions, Cary-Williams stayed true to his inspirations molded leather that he bakes in an oven and deconstructed tailoring. Jackets were crafted in butter-colored or cloud gray leather with detailed topstitching and seaming, while dresses were trimmed with leather or zips. Trousers were beautifully deconstructed to fall away into skirts and many jackets were completely backless. If Cary-Williams couldn't resist a few art school moments, like a dress made entirely of mirrors, the star piece an organza dress decorated with zips that unraveled down Kate Moss' bared back proved this designer has a unique vision that should be watched."
31,"Couture blaxploitation, logos-a-go-go, leather-clad revolutionaries, whip-toting modern courtesans where else but at Dior? John Galliano's romp started with a series of wildly sexy denim looks reminiscent of a glammed-out Foxy Brown: knee-high lace-up logo boots, foulard tops made out of Dior's signature print, frayed microskirts and supersexy tan leather pants. Just when you were ready to call the vice squad, out came a parade of eighteenth-century-inspired white, black, and red corsets with lace-up skirts and leggings (asymmetrically cut and with plenty of zippers and laces, of course). Insouciant dance-hall girls in enormous coiffures, velvet ensembles, polka dots, deconstructed suede, whips and satin getups followed. It doesn't get much closer to the fantasy of couture than this and nobody makes it more fun than Galliano."
32,"Spring 2000 for Donna Karan revolved around the concept of ""Fusion between the past and the future, the body and fabrics, the ancient arts of the East and the modern pace of the West."" As usual, Karan kept the palette elementary: indigo, black, nude and ivory showed up on soft jackets, scarf-like shirts and chic suits. Paper-thin kimonos and nude-colored suedes looked clean and modern, while hand-painted floral chiffons added a sensual feeling to the evening styles."
33,"Two-thousand-and-one nights: global chic was the inspiration for Anna Molinari's raucously festive Blumarine collection. Wandering from east to west on a magic fur-trimmed, bejeweled carpet, the designer toyed with bikinis in cashmere and sequins as evening wear; urban tailleurs were alternated with her signature feminine knits. Ethnic motifs appeared everywhere in the form of beaded dragon appliques, Indian-style embroidery and African zebra prints. Pushing the decoration envelope to the max, Molinari turned the rose, Blumarine's symbol, into the leitmotif for a rich series of evening dresses that dripped with waterfalls of the flower's shiny petals."
34,"Conceptual designer Hussein Chalayan showed a collection of luxurious separates for TSE on Friday afternoon. Based on the idea of ""Shadows,"" Chalayan featured multitone embroidered cotton jackets, dresses and skirts, as well as ultrasoft red cashmere sweaters. Muted color blocks showed up against backdrops of rose ash, marmalade and grey in both tops and skirts. Double-face silk dresses completed the smart, understated presentation."
35,"Those who lust for the elaborate fantasy and craftsmanship of couture but who prefer prêt-à-porter will find a niche for their whimsical fantasies at Ferre. If there was ever a collection that exemplified unflinching, maximalist resolve, this is it. Ferre's background as an architect was apparent in his use of constructed bodices, grand ballroom skirts with wire underpinnings, origami-inspired dresses and dandyish suits with oversized cuffs. Decoration was, of course, a defining element for the entire collection, ranging from generous ruffles on shirts to beads on floor-grazing skirts and enormous floral appliqu's on elaborate dresses. Not a collection for the faint of heart."
36,"Designer Roberto Menechetti's new take on an old British house was more feminine and fun than in previous seasons. There were sexy, double-breasted biker jackets in sueded leather that looked like they had been biking for years, cute mini dresses in a ""new"" Burberry check (it has the old camel-and-red colorway with a lino feel to the print), long, flowing skirts in iridescent lilac silk and macs in ultra-light sailcloth printed with the new check on a lilac or green background. It was an identifiably Burberry collection, but Menechetti seems to be getting closer to a modern British style."
37,"Tristan Webber's talent is with tailoring, particularly in leather and this season this young Saint Martin's graduate delivered an extremely creative and beautiful take on his signature look of seamed leather. Using the veins of a butterly wing as inspiration for his seaming, Webber joined the palest blue leather with chiffons or high-tech knits to create some unbelievably sharp tailoring. There were some to-die-for jackets and coats whose tailoring techniques were as sensous and curvacious as the female body. Webber is a truly original tailor who has to be congratulated for pioneering unique and new techniques that will undoubtedly influence the rest of the fashion world. Pale blue chiffon skirts and dresses, skin tight or looser and printed with flesh-pink 'veins' were wonderfully pretty and feminine. Webber has developed his obsession with the fusion of human anatomy and the anatomy of tailoring to create something less macabre than in previous seasons in fact, you could call it as elegant as it was edgy."
38,"Our collection is girly and optimistic, younger than usual, and definitely glamorous, explained Mark Badgley. The presentation featured nearly all the colors of the rainbow in cool sorbet shades, like light rose, lime green, and citron yellow tempered with white. Reserving their trademark glittering gowns for last, Badgley Mischka devoted the first part of the show to embroidered, shimmery separates that included wearable georgette tops, raspberry sequin skirts, and fuchsia sprinkle-beaded jackets."
39,"Versace's requisite ingredients were all present: sex, bright colors and rock-hard attitude. The volume on the runway was cranked up to 11 as an assortment of Hawaiian prints (not your traditional beach shirts, mind you), Grecian-front slinky dresses, mischievous handkerchief blouses and draped evening gowns flashed by under the strobe lights. Cleavages were deeper than ever, and a jet-set look imbued everything from the strappy bathing suits to the glittery heels and tie-collar blouses. Versace's daring cut, wild use of color and uncensored drama continue to be the label's strongest assets and Donatella shows no signs of slowing down."
40,"It was quite a dramatic presentation at Balmain, featuring everything from feather paste-on brassieres to rough-cut cavegirl-like skirts and microskirts, and Jackson Pollock-inspired prints. Of course, there were also plenty of more sedate pieces pretty twinsets in pastel shades, a broad range of soft, flowing chiffon dresses and candy-colored short suits with exposed seams, perhaps influenced by Gilles Dufour's years at Chanel. Evening had a distinctly '80s flavor: Acid orange, fuchsia and green minidresses shared the runway with feathered tops, handkerchief slips with trains that served as scarves and paillette gowns. And who better to show them all off than Claudia Schiffer?"
41,"An American prairie girl goes to Goa would be a good way to describe Anna Sui's unapologetically rich summer collection. Her looks were at times sexy, often innocent, but always bedecked with embroidery, ruffles, beading and a rampage of colorful patterns. Western-inspired pieces like dark denim capri jeans and jackets were bejeweled and studded '70s-inspired Empire dresses were stitched from rambunctious paisley prints; and floral-print ruched blouses were in abundance. Clearly, restraint was not even a minor consideration for Sui, who went for all-out luxe."
42,"Hong Kong designer Vivienne Tam's Spring 2000 collection was inspired by dragons, which showed up everywhere from discreet details on waistbands to large sequined representations on dresses. ""I wanted to propose a return to femininity for the twenty-first century,"" explains Tam. Her trademark embroideries were applied to technologically-advanced, iridescent fabrics in hues like ivory, jade and coral. Minimalist jackets were lavishly draped, printed dresses were generously beaded and skirts were dip-dyed in aqua and mint green. Tam designed the kind of wardrobe that will take a chic, young girl-about-town from mother's garden party to the nightclub without skipping a beat."
43,"Macdonald's talent lies with knitwear and fiber, and he didn't let his fans down. Out came PVC jeans decorated with silver studs, plasticlike fabrics painted with pale pinks and blues, a golden sweater with woven-in crystals so it sparkled, and sweaters in lime, fuchsia and silver stripes. Very disco, very out there. Very Julien."
44,"Gabrielle Strehle designed for Strenesse a concise line of blouson shirts, off-the-shoulder tops, and slinky dresses in solid shades of white, aqua, gold and tan. The general feeling was reminiscent of California in the '70s, but the final effect was thoroughly contemporary. Soft suede, denim twill and baby cashmere gave the collection an atmosphere of luxury that stemmed from precision of design and refinement of materials rather than overt decoration. Smart details like subtle beading on gold skirts, thin belt straps and ruched necklines packed quite a punch, but were never overdone."
45,"There's a fresh, younger look to my collection this season, said designer Linda Allard before the Ellen Tracy show. ""Khaki pants and skirts are shorter, and we've incorporated a lot of color as well. The collection looks great with a sculpted, modern high heel and a simple gold link chain."" Other highlights included fire-engine red trenchcoats and shirts; linen knit tops; and jade, lilac and lavender jackets, wraps and tanks. Evening wear revolved around a colorful series of frosted beaded pants, slip dresses and long skirts in grape, cherry, yellow and pink."
46,"Dries Van Noten strayed from the mainstream, as he often does, and showed a strong and directional line for Spring 2000. ""I wanted to create a collection about passion and love, something to prove that intensity is not necessarily about women with tight clothes and high heels,"" he explained. Instead, Van Noten created visions of femininity enveloped in voluminous skirts reminiscent of Spain and the south of France, delicately embroidered tops and wool shawls that could be wrapped asymmetrically around the body. Bright, contrasting colors added a youthful touch to the inspired designs."
47,"She's back in style and readily available. The early '80s disco dolly came out to party in full force at Alessandro Dell'Acqua's show. Sex was clearly the driving force behind this cavalcade of one-shouldered purple, red and black tulle shirts, cowl-necked satin tops and paillette-encrusted slacks that took over the runway. Accessories were no less bold and added to the shimmering extravaganza decorated boots, dangling rhinestone chains worn as belts or necklaces under layers of transparent fabric and bags with dripping beads. It was a strobe-light affair."
48,"Yves Saint Laurent is not about the past and it's not about the future. It is eminently contemporary, said Pierre Berg? before the show began. Truer words could not have been spoken. Alber Elbaz created a collection that perfectly captures the fashion moment ""designed for a woman who desires traditions with a twist, who thinks big and lives fast."" Classic Saint Laurent favorites looked better than ever--tuxedo suits with chiffon shirts, evening dresses brimming with flou fran ais and sexy tops with oversized cowl necks. But there were also sharp new pieces, like a series of semitransparent green, fuchsia, blue and plum suits; hard-edged tan leather dresses; plastic paillette gowns; python overcoats and Amazon-inspired silk shirts with leaf motifs. Clearly, Saint Laurent's strong, gutsy woman is still very much in vogue and, thankfully, it looks like we'll be seeing plenty of her in the future."
49,"Elegant, glamorous and gracefully cut are keywords when speaking of Valentino's work. This season the emphasis was on prints floral appliqu's, ivory polka dots on red crepe and lily of the valley embroideries. There were also some strong, less decorated pieces, like the stunning cashmere coat that opened the show, evocative of Jackie O. Also striking were his accessories: rectangular bags with cascades of beads and spindly high heels decorated with delicate, dainty rosebuds and glittering flowers."
50,"Victor Alfaro showed a sexy, elegant collection of styles that would look right at home in the Concorde Lounge at Charles de Gaulle. Supple, deep-brown leather skirts, capri pants and skimpy shorts opened the show, followed by aqua shirt-dresses with plunging necklines. Sand-colored, cashmere-knit hot pants were worn under a cotton trench, and simple, creamy leather pants looked great with slinky embroidered tops. For evening, Alfaro featured lilac chiffon skirts, embroidered silk knit tops and crystal beaded dresses."
51,"Mayor Rudy Giuliani saluted the New York City fashion industry with an open-air show in the middle of Times Square Monday night, complete with giant TV screens and a musical performance by Grammy Award winner Trisha Yearwood. Nearly 90 designers participated, each showing only one or two looks. Models walked down a makeshift runway in rapid succession (Lauren Hutton, modeling an Armani velvet pantsuit, received an enthusiastic round of applause) as gridlock-causing crowds gathered to watch in the surrounding streets."
52,"Elspeth Gibson's look is as wearable as it is sweetly sexy. The dress-of-the-moment is either a white fitted broderie anglais shift or a soft silk frock printed with hot-pink flowers on a chocolate background. Sequined sweaters, lime-green chiffon skirts that dipped at the hem, gingham bikinis or skirts that revealed lots of leg, and crystal-covered halter dresses will make for a sublime summer wardrobe. Take it to St. Tropez."
53,"For his Spring collection, BCBG designer Max Azria did just what he does best, distilling the season's major trends into fashion that's utterly wearable and accessible. Ecru, rust, raspberry, and mint green were the predominant shades, with floral prints and beading adding an ethnic touch. Suede skirts, dresses, and shells with appliqu's looked great worn with lacquer boots and heels, while skimpy apron tops, layered multi-tulle skirts, and enamel cotton dresses embroidered with paillettes gave an extra spark to the sophisticated, sexy spirit of the collection."
54,"Daryl K is best known for her urban survival gear, but she also has a longstanding obsession with '70s chic. This season she reconciled the two: Daryl's devotees will be glad to know that there are still plenty of hip-hugging, low-slung trousers, hurricane jackets, dark denim skirts and no-nonsense army blousons. But the '70s influence was obvious in her patchwork silk charmeuse kimono tops, sun-ray shirts with elaborate detailing, and ultra-sexy white vintage cotton tanks paired with bikini bottoms. All the looks were shown with simple wood wedges or supple leather no-heeled boots."
55,"Khaki, burgundy, lavender, and navy blue were the predominating colors at MaxMara. It was a simple, controlled collection that worked thanks to the precision of the form-fitting pantsuits, sexy shorts, and luxurious denim ensembles. Studded overcoats, pleated skirts and transparent shirts were both practical and sharp; graphic sweaters with geometric motifs, and a series of shiny pink snakeskin pieces added a dash of excitement to the runway. The chemisiers, smoky glasses, skinny belts, and fitted blazers confirmed that 70s glamour is here to stay at least for a while."
56,"Deconstructing (and then reconfiguring) traditional clothing and silhouettes has always been an essential component of Yamamoto's work, and this season he addressed the issue head-on. A simple white dress opened his show; a virtually identical one, adorned only by a black ruffle on the front followed it; next, it developed a sleeve and side section. Eventually, of course, the outfit was completed with two sleeves and shoulders, though Yamamoto never quite got around to the back. The effect was stunning, as were the beige full skirts with elaborate pleats and voluminous ruffles, feather umbrellas, trench coats and preciously embroidered tops in the lightest possible shades of orange, purple and green. It takes a master of nuance to pull off such a delicate collection and Yamamoto did it faultlessly."
57,"The relationship between word and image was the theme for Ann Demeulemeester's predominantly black and white collection. Bands of text with messages like ""Curious wishes feathered the air,"" and ""Morning found the field bright"" were inscribed on tank tops and jackets. Overlays of transparent tulle, sometimes decorated with subtle beading, covered Demeulemeester's well-known black pantsuits. There were also lighter pieces, like ecru papery jackets, distressed denim pants, and simple knit sweaters."
58,"Vera Wang began her show with pure, modern dresses in white, accented with graphic, geometric patches of silver beading. A series of fluid black pieces followed, and then a procession of beaded pants and skirts, transparent tops and sequined gowns in pastel shades inundated the runway. For the conclusion, Wang offered the expected array of signature wedding gown an ultraromantic array of dresses punctuated by flowing cathedral-length veils that trailed to the floor."
59,"Rei Kawakubo's designs are normally unsettling at first, somewhat confusing and, ultimately, incomparably beautiful. What begins as an assault on the senses slowly reveals itself as the work of a true artistic genius. For  pring 2000, Kawakubo continued her ongoing experimentation with proportions, layering, pleats and ruffles, creating some of the most original pieces of the season. Ballerina tights were stuffed with layers of chiffon that peeked sheepishly from the girls' thighs. Olive-green army jackets and fatigues were broken down and reconfigured to create flowing skirts and rumpled jackets with displaced shoulders. But at the heart of the collection was a series of shirts and dresses with unexpected abundance of texture and color. Evoking exotic flowers or intricate corals, Kawakubo piled yards of pink, fuchsia and red fabric into bundles of ruffles and pleats that dramatically redefined the silhouette. Flat surfaces suddenly blossomed into enormous volumes. Nothing old, nothing that has been done before that's Comme des Garçons' mantra, and it's as true now as it's ever been."
60,"Sitbon gathered many of the season's predominant themes and reworked them into her own collection: Transparent fabrics layered with shine, paillette appliqu's, fringed trims, and pleating all showed up in her work. Leather skirts with geometric patchwork inserts were interesting, and there were a few easy-to-wear trench coats. The colors were mostly rosy pastels, black and white, but a series of pieces, reminiscent of the Russian deconstructivists, incorporated red and aqua insets as well."
61,"Jackie O. meets Brigitte Bardot would be a fitting description for Ralph Lauren's latest collection, which featured numerous styles stitched up in gingham and polka dots. ""This is for a woman who understands how sexy simplicity can be,"" explained the ever-discerning designer. His palette was heavy on black, white and red, which showed up in taffeta pants and tops, gabardine jackets and skimpy shorts. There were also georgette floral skirts and camisoles, and sensational leather jeans. Overall, Lauren's strong collection worked beautifully by defying conventional rules."
62,"Ferretti has always relied on youthful femininity as the inspiration for her Philosophy collections and Spring 2000 was no exception. The predominant look was that of a sweet country girl on safari: easy-going day dresses in olive green, beige, gold and white; peasant skirts with delicate ruffles; patchwork-embroidered gauzy tops; and ultra-soft suede pants accessorized with no-nonsense rubber boots. But even the most practical-minded expeditionary craves a touch of glamour, and Ferretti delivered the goods with '60s-style gold mesh sleeveless dresses, beaded hot pants, embroidered tops, and coppery capri pants."
